id,timestamp,datestamp,business_id,order_source,order_status,external_order_id,external_customer_id,product_source,product_id,variant_id,category,vendor,quantity,price,cost,total
1019401,1688748230,2023-07-07T11:43:50-05:00,1291,Shopify,placed,5175847419986,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
1019402,1687850004,2023-06-27T02:13:24-05:00,1291,Shopify,placed,5160325185618,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997662,1687705923,2023-06-25T10:12:03-05:00,1291,Shopify,placed,5158080053330,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1344810,1687076769,2023-06-18T03:26:09-05:00,1328,Shopify,placed,5097374384320,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
997663,1686688930,2023-06-13T15:42:10-05:00,1291,Shopify,placed,5143208755282,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1342593,1685638484,2023-06-01T11:54:44-05:00,1328,Shopify,placed,5077589098688,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
997664,1685629626,2023-06-01T09:27:06-05:00,1291,Shopify,placed,5126069682258,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1351076,1685474108,2023-05-30T14:15:08-05:00,1328,Shopify,placed,5075278332096,2118172704883,Shopify,1077700853875,16451284762739,Espresso,Looking Glass,1,20.5,0,20.5
1351075,1685474108,2023-05-30T14:15:08-05:00,1328,Shopify,placed,5075278332096,2118172704883,Shopify,4557007454323,31935442616435,Espresso,Looking Glass,1,20.5,0,20.5
1351074,1685474108,2023-05-30T14:15:08-05:00,1328,Shopify,placed,5075278332096,2118172704883,Shopify,7468774555840,43558156632256,Peru,Looking Glass,1,23,0,23
1019403,1685430869,2023-05-30T02:14:29-05:00,1291,Shopify,placed,5122426863698,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,15.75,0,31.5
1344811,1685262433,2023-05-28T03:27:13-05:00,1328,Shopify,placed,5072143712448,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
997666,1684696050,2023-05-21T14:07:30-05:00,1291,Shopify,placed,5109936947282,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,1,18.5,0,18.5
997665,1684696050,2023-05-21T14:07:30-05:00,1291,Shopify,placed,5109936947282,6013262266450,Shopify,4571641217106,32183792664658,Coffee,Lattitude Coffees,1,21.5,0,21.5
1019404,1684221415,2023-05-16T02:16:55-05:00,1291,Shopify,placed,5102023344210,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,15.75,0,31.5
997668,1683905205,2023-05-12T10:26:45-05:00,1291,Shopify,placed,5097072132178,6013262266450,Shopify,7097998114898,40387794305106,Coffee,Lattitude Wednesday,1,22,0,22
997667,1683905205,2023-05-12T10:26:45-05:00,1291,Shopify,placed,5097072132178,6013262266450,Shopify,7109810225234,40411772682322,Coffee,Lattitude Wednesday,1,32,0,32
1344812,1683448592,2023-05-07T03:36:32-05:00,1328,Shopify,placed,5047440736448,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
997671,1683297951,2023-05-05T09:45:51-05:00,1291,Shopify,placed,5086677532754,6013262266450,Shopify,4571641217106,32183792664658,Coffee,Lattitude Coffees,1,21.5,0,21.5
997670,1683297951,2023-05-05T09:45:51-05:00,1291,Shopify,placed,5086677532754,6013262266450,Shopify,10327601865,1759270862857,Coffee,Lattitude Coffees,1,16,0,16
997669,1683297951,2023-05-05T09:45:51-05:00,1291,Shopify,placed,5086677532754,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,1,17.5,0,17.5
1351079,1683059421,2023-05-02T15:30:21-05:00,1328,Shopify,placed,5041912053952,2118172704883,Shopify,1077700853875,16451284762739,Espresso,Looking Glass,1,20.5,0,20.5
1351078,1683059421,2023-05-02T15:30:21-05:00,1328,Shopify,placed,5041912053952,2118172704883,Shopify,4557007454323,31935442616435,Espresso,Looking Glass,1,20.5,0,20.5
1351077,1683059421,2023-05-02T15:30:21-05:00,1328,Shopify,placed,5041912053952,2118172704883,Shopify,1204712931443,16451763208307,Blends,Looking Glass,1,20.5,0,20.5
1019405,1683011755,2023-05-02T02:15:55-05:00,1291,Shopify,placed,5082051739730,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,15.75,0,31.5
1342594,1682363070,2023-04-24T14:04:30-05:00,1328,Shopify,placed,5030705070272,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
